N;Name;Voltage;Rate;Operator;StartDate
15;ПС Печная;220000;;;
20;ПС ГПП2;220000;;;
24;ПС Элиста Северная;220000;;;
26;ПС Т-20 Печная;220000;;;
29;ПС Сысоево;220000;;;
30;ПС АС-1 Ольгинская;"110000;35000;10000";;ЦЭС;
31;ПС АС-10 Камышевахская;"110000;10000";;ЦЭС;
32;ПС АС-11 Ключевская;"110000;35000;10000";;ЦЭС;
33;ПС АС-12 Каменобродская;"110000;10000";;ЦЭС;
34;ПС АС-15;"110000;10000";;ЦЭС;
35;ПС АС-4 Сов.Россия;"110000;10000";;ЦЭС;
36;ПС АС-6;"110000;10000";;ЦЭС;
37;ПС БГ-1 Багаевская;"110000;35000;10000";;ЦЭС;
38;ПС БГ-2 Арпачин;"110000;35000;10000";;ЦЭС;
39;ПС БГ-6 Ажиновская;"110000;10000";;ЦЭС;
40;ПС БТ-1;"110000;6000";;ЦЭС;
41;ПС БТ-2;"110000;35000;6000";;ЦЭС;
42;ПС БТ-3;"110000;6000";;ЦЭС;
43;ПС В-1 Веселовская;"110000;35000;10000;6000";;ЦЭС;
44;ПС В-10 Ждановская;"110000;35000;10000";;ЦЭС;
45;ПС В-2 Балабинская;"110000;10000";;ЦЭС;
46;ПС ГТП;"110000;35000;6000";;ЦЭС;
47;ПС КС-3;"110000;6000";;ЦЭС;
48;ПС НГ-4;"110000;10000";;ЦЭС;
49;ПС НГ-5;"110000;10000;6000";;ЦЭС;
50;ПС НГ-6;"110000;6000";;ЦЭС;
;ПС НГ-8;"110000;6000";;ЦЭС;
;ПС Р-1;"110000;35000;6000";;ЦЭС;
;ПС Р-10;"110000;10000";;ЦЭС;
;ПС Р-12;"110000;6000";;ЦЭС;
;ПС Р-16;"110000;6000";;ЦЭС;
;ПС Р-17;"110000;6000";;ЦЭС;
;ПС Р-19;"110000;10000";;ЦЭС;
;ПС Р-2;"110000;35000;6000";;ЦЭС;
;ПС Р-22;"110000;35000;6000";;ЦЭС;
;ПС Р-23;"110000;6000";;ЦЭС;
;ПС Р-24;"110000;6000";;ЦЭС;
;ПС Р-25;"110000;10000;6000";;ЦЭС;
;ПС Р-26;"110000;10000;6000";;ЦЭС;
;"ПС Р-27 ""Центральная""";"110000;10000;6000";;ЦЭС;
;ПС Р-28;"110000;10000;6000";;ЦЭС;
;ПС Р-29;"110000;10000";;ЦЭС;
;ПС Р-3;"110000;6000";;ЦЭС;
;ПС Р-31;"110000;6000";;ЦЭС;
